archivo,sección,tema,pregunta,subpregunta,juicio,evidencia procedente de la investigación,consideraciones adicionales
ansiedad.txt,6.1.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,,Moderada.,"Se consideraron 15 ECA con un total de 5737 personas con TAG, 3266 tratados con algún ISRS, y 2471 tratados con placebo (132–146). De los 15 ECA, 6 ECA (n= 1.990) evalúan el efecto del escitalopram (136–138,141–143), 4 ECA (n= 1.600) el de la paroxetina (132,138– 140), 3 ECA (n= 1.066) el de la sertralina (133–135) y 3 el de la vilazodona (n= 1.475) (144–146). Los resultados muestran que el tratamiento con ISRS frente al placebo en adultos con TAG: Reduce los niveles de ansiedad (efecto pequeño). o En el caso de la paroxetina, sertralina y escitalopram, el efecto no supera el umbral de decisión clínica. Aumenta la probabilidad de respuesta (136 pacientes más por cada 1.000). Aumenta la probabilidad de remisión (141 pacientes más por cada 1.000). Incrementa la CVRS (efecto moderado). o En el caso de la sertralina y escitalopram, el efecto no supera el umbral de decisión clínica. Aumenta el riesgo de eventos adversos (185 pacientes más por cada 1.000). Reduce el riesgo de eventos adversos sexuales (21 pacientes menos por cada 1.000). GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 81 o En el caso de la paroxetina aumenta el riesgo en 150 pacientes más por cada 1.000). En el análisis de subgrupo se observaron diferencias en los desenlaces considerados claves entre los pacientes que recibieron diferentes dosis de: Vilazodona: Niveles de ansiedad 20 mg: no efecto 40 mg: no efecto 20-40 mg: efecto pequeño Probabilidad de respuesta 20 mg: no efecto 40 mg: 139 pacientes más por cada 1.000 20-40 mg: 134 pacientes más por cada 1.000 Riesgo de eventos adversos 20 mg: 94 pacientes más por cada 1.000 40 mg: no efecto 20-40 mg: 186 pacientes más por cada 1.000 Paroxetina: Probabilidad de remisión 20 mg: 113 pacientes más por cada 1.000 40 mg: 330 pacientes más por cada 1.000 20-50 mg: 134 pacientes más por cada 1.000 Riesgo de eventos adversos (no se especifican cuáles) 20 mg: 136 pacientes más por cada 1.000 40 mg: 112 pacientes más por cada 1.000 20-50 mg: 704 pacientes más por cada 1.000 Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",
ansiedad.txt,6.1.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,,Moderada.,"La calidad global de la evidencia fue considerada moderada. Esto se debe a que la inconsistencia observada entre estudios para alguno de los desenlaces considerados no ha podido ser explicada por los subgrupos establecidos (fármacos y dosis) o han mostrado a su vez heterogeneidad. Además de esto, el intervalo de confianza (IC) cruza el umbral de decisión clínica (se puede tomar una decisión clínica diferente con respecto a la intervención dependiendo de si se considera el límite inferior o superior) en las variable ansiedad (6 puntos en la Escala de Ansiedad de Hamilton) y CVRS (6,8 puntos en el cuestionario sobre Calidad de Vida, Satisfaccion y Placer, en su versión corta). Por desenlace, la calidad de la evidencia fue considerada moderada para ansiedad, respuesta, calidad de vida y eventos adversos, y alta para remisión.",
ansiedad.txt,6.1.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,,La incertidumbre o la variabilidad probablemente no son importantes.,No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.,El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 83
ansiedad.txt,6.1.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,,Costes y reducción de costes insignificante.,No se encontró evidencia sobre el coste de los ISRS en comparación con placebo en España.,"Se estimó que el coste del tratamiento con los diferentes ISRS comercializados en España durante 12 semanas oscila entre 8,75 € y 69,96 €. Paroxetina: se estima entre 19,58 € (20 mg/d) y 48,94 € (50 mg/d) por paciente y trimestre. Vilazodona: no se comercializa en España. Sertralina: se estima entre 8,75 € (25 mg/d) y 69,96 € (200 mg/d) por paciente y trimestre. Escitalopram: se estima entre 14,09 € (5 mg/d) y 56,38 € 20 mg/d) por paciente y trimestre. El GAG reconoce las limitaciones de la estimación de costes realizada porque solo contempla el coste del fármaco, pero no otros costes como los asociados a consultas evitadas, tratamiento de efectos adversos, seguimientos, etc."
ansiedad.txt,6.1.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,,No hay estudios incluidos.,No se encontró evidencia sobre el uso de los recursos durante el tratamiento con ISRS en España.,
ansiedad.txt,6.1.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?","h) El coste-efectividad de la intervención, ¿favorece a la",,Probablemente favorece a la intervención.,"De acuerdo a la única evaluación económica identificada, la sertralina (ISRS) es más efectiva en términos de años de vida ajustados por calidad (AVAC) y menos costosa que placebo en Reino Unido (147). GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 84",
ansiedad.txt,6.1.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",i) ¿Cuál sería el impacto en la equidad en salud?,,Probablemente sin impacto.,No se identificaron estudios que respondieran a la pregunta.,La sertralina en la actualidad no tiene indicación en ficha técnica para el tratamiento de los adultos con TAG. Su prescripción podría generar inequidad en el acceso al tratamiento por parte de la población con menos recursos y también por CCAA o territorios.
ansiedad.txt,6.1.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",j) ¿Es aceptable la opción para los agentes implicados?,,Probablemente sí.,"Según la revisión de estudios cualitativos realizada, la aceptabilidad de los tratamientos farmacológicos, entre ellos los ISRS, es variable entre las personas con TAG por cambios en la percepción de su efectividad o por la presencia de efectos secundarios (148). Por otro lado, en los ECA considerados, la tasa de abandono prematuro del tratamiento con ISRS debido a efectos adversos durante el periodo de tratamiento analizado, que varió entre las 8 y las 12 semanas, es significativamente mayor que la obtenida en el grupo placebo (40 pacientes más por cada 1.000; riesgo relativo (RR)= 1,92; IC95%: 1,49, 2,47; I2= 0%; p= 0,80; k= 10; n= 3.429) (132,134–136,138–140,142,143). Las tasas de abandono prematuro del tratamiento debido a efectos adversos por fármaco son las siguientes: Vilazodona: 14,1%, significativamente mayor que la producida en los grupos de control (3,9%) (P< 0,01) (144–146). Paroxetina: 9,8%, significativamente mayor que la producida en los grupos de control (4,3%) (49 pacientes más por cada 1.000; RR= 2,14; IC95%: 1,43, 3,19; I2= 0%; P= 0,79; k= 4; n= 1.603) (132,138–140). Sertralina: no se obtuvieron tasas diferenciales de abandono de la sertralina frente al placebo (134,135). Escitalopram: significativamente mayor que la producida en los grupos de control (32 pacientes más por cada 1.000; RR= 1,84; IC95%: 1,07, 3,17; I2= 0%; P= 0,81; k= 4; n= 1.254) (136,138,142,143). Por otro lado, la presencia de efectos adversos como la disminución del deseo sexual, la dificultad para llegar al orgasmo o la disfunción eréctil (132,134,135,137–143) puede llegar a ser difícilmente aceptable para algunos pacientes.","En la práctica clínica, el paciente con TAG es tratado después de una trayectoria larga de consultas, pruebas y un curso GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 85 prolongado de sintomatología hasta el diagnóstico. En ese punto, no suelen existir problemas a la hora de aceptar el tratamiento farmacológico. Los ISRS son bien tolerados y se ve respuesta y remisión con eventos secundarios mayoritariamente leves y transitorios. El GAG considera que no hay problemas de aceptabilidad de la prescripción de los ISRS por parte del médico de AP."
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?",k) ¿Es factible la implementación de la opción?,,Sí.,No se identificaron estudios que respondieran a la pregunta.,"Algunos ISRS, como la paroxetina y el escitalopram, tienen indicación en ficha técnica para el tratamiento de los adultos con TAG. Otros, como la sertralina, el citalopram, la fluvoxamina, la fluoxetina o la vilazodona, no tienen esta indicación aprobada. Además, la vilazodona no está comercializada en España. Por tanto, cuando el médico responsable del tratamiento, bajo su exclusiva responsabilidad, considerara indispensable la utilización de la sertralina, el citalopram, la fluvoxamina o la fluoxetina, debe justificar en la historia clínica la necesidad de su uso e informar al paciente de los posibles beneficios y los riesgos potenciales del fármaco, obteniendo su consentimiento conforme a la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente y de derechos y obligaciones en materia de información y documentación clínica, y al Real Decreto 1015/2009, de 19 de junio, por el que se regula la disponibilidad de medicamentos en situaciones especiales. noradrenalina Entre las principales estrategias terapéuticas actuales para el abordaje del TAG se encuentra el tratamiento farmacológico, que tiene como objetivo reducir los síntomas, facilitar el logro de la remisión y la recuperación, prevenir las recaídas y reducir las consecuencias derivadas, con los mínimos efectos adversos posibles. Entre los medicamentos utilizados para el TAG se incluyen los antidepresivos IRSN. Los IRSN GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 86 bloquean la recaptación de serotonina y noradrenalina, aumentando sus concentraciones en el cerebro. En esta pregunta clínica se analiza la evidencia científica y se aportan recomendaciones sobre el uso en AP de los IRSN en pacientes con TAG. Recomendaciones 1. Se sugiere el uso de los inhibidores selectivos de la recaptación de serotonina y noradrenalina (venlafaxina de liberación prolongada y duloxetina) en el tratamiento de primera línea de las personas con TAG como alternativa a los inhibidores selectivos de la recaptación de serotonina. [Débil a favor] 2. Si un inhibidor selectivo de la recaptación de serotonina y noradrenalina es efectivo en el tratamiento del paciente con TAG, pero no se tolera, se sugiere cambiar a otro inhibidor de la recaptación de serotonina y noradrenalina, salvo que se hayan producido reacciones adversas graves o de clase. Si tampoco se tolera el segundo, se sugiere cambiar a un inhibidor selectivo de la recaptación de serotonina. [BPC] Las recomendaciones de BPC 3-8 y 10-13 formuladas para los inhibidores selectivos de la recaptación de serotonina (ver Apartado 6.1.1.) son también aplicables para los inhibidores selectivos de la recaptación de serotonina y noradrenalina. Justificación Se ha formulado una recomendación débil a favor del uso de los IRSN como alternativa a los ISRS en pacientes con TAG moderado cuyos síntomas no hayan mejorado después de la intervención educativa. La recomendación se ha basado en la magnitud de los efectos beneficiosos esperados, la calidad de la evidencia, el balance beneficio-riesgo favorable junto con el bajo coste de estos fármacos y la aceptabilidad general de los mismos por parte de los pacientes. Además, con el objetivo de complementar estas recomendaciones, se ha formulado una recomendación de buena práctica orientada a la alternativa en caso de no tolerancia al tratamiento inicial. La serie de recomendaciones de BPC, que aplican tanto a los ISRS como a los IRSN, son consideraciones para la prescripción, la no preferencia de fármacos individuales dentro de la clase y la dosificación, las consideraciones en caso de embarazo, la información que se debe ofrecer al paciente, la estrategia en caso de TAG grave, la monitorización de la adherencia y la respuesta, la continuación y finalización del tratamiento y, por último, la alternativa a la no respuesta. Para ello, se ha tenido en cuenta la experiencia en la práctica clínica del GAG y las recomendaciones de las GPC actuales de calidad metodológica alta sobre el TAG (63,83). GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 87 Justificación detallada Magnitud de los efectos esperados: la evidencia señala que los IRSN muestran efectos significativos en el aumento de la probabilidad de respuesta y la probabilidad de remisión y un efecto pequeño sobre los niveles de ansiedad y los niveles de calidad de vida. Certeza global en la evidencia sobre los efectos: la calidad global de la evidencia considerada, procedente de 19 ECA (n= 7.809) (143,149–166), es moderada. Balance beneficio-riesgo: la evidencia científica señala beneficios claros de los IRSN en el tratamiento del TAG. Por otro lado, si bien los IRSN no están exentos de efectos secundarios, estos son bien conocidos y algunos se pueden reducir disminuyendo la dosis de inicio y permaneciendo vigilantes, ofreciendo la información necesaria al paciente para que los detecte de forma temprana. Por consiguiente, el GAG ha considerado que el balance beneficio-riesgo es globalmente favorable a los IRSN. Uso de recursos y costes: el coste del tratamiento con IRSN, teniendo en cuenta únicamente el coste de los fármacos, se considera insignificante. Aceptabilidad: los IRSN tienen un perfil de seguridad bien establecido y son ampliamente utilizados en AP, por lo que existe gran experiencia de uso. Por consiguiente, desde el punto de vista del GAG, la mayoría de los pacientes, una vez informados de los pros y los contras, estarían de acuerdo con el tratamiento. De la evidencia a la recomendación"
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,,Moderada.,"Se consideraron 19 ECA con un total de 7.809 personas con TAG, 4.523 de ellas tratadas con algún IRSN y 3.286 con placebo (143,149–166). Catorce de los ensayos (n= 4.223) (143,149,150,153,154,156,157,159–162,164–166) evalúan la venlafaxina y 8 la duloxetina (n= 3.586) (149–151,154,155,158,163,167). Los resultados muestran que, en adultos con TAG, el tratamiento con IRSN frente al placebo: Reduce los niveles de ansiedad (efecto pequeño). o En el caso de la duloxetina, no supera el umbral de decisión clínica. Aumenta la probabilidad de respuesta (164 pacientes más por cada 1.000). Aumenta la probabilidad de remisión (134 pacientes más por cada 1.000). Incrementa los niveles de CVRS (efecto pequeño). o En el caso de la duloxetina, no supera el umbral de decisión clínica. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 88 Aumenta el riesgo de eventos adversos (222 pacientes más por cada 1.000). o En el caso de la venlanfaxina, aumenta el riesgo de eventos adversos sexuales (120 pacientes más por cada 1000). En el análisis de subgrupo no se observaron diferencias en los desenlaces considerados claves entre los pacientes que recibieron diferentes dosis de duloxetina, pero sí en el caso de la venlafaxina como se muestra a continuación: Niveles de ansiedad 75 mg: efecto pequeño 75-225 mg: efecto pequeño Probabilidad de respuesta 75 mg: 143 pacientes más por cada 1.000 150 mg: 105 pacientes más por cada 1.000 75-225 mg: 162 pacientes más por cada 1.000 Riesgo de eventos adversos 75 mg: 284 pacientes más por cada 1.000 150 mg: 275 pacientes más por cada 1.000 225 mg: 248 pacientes más por cada 1.000 75-225 mg: 295 pacientes más por cada 1.000 Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,,Moderada.,"La calidad global de la evidencia fue considerada moderada, debido a que en el desenlace CVRS, el número total de pacientes incluidos entre todos los estudios es menor que el número de pacientes generados por el cálculo convencional del tamaño de la muestra (tamaño óptimo de información, 367 participantes en cada grupo). Por desenlace, la calidad de la evidencia fue considerada moderada para ansiedad, respuesta, calidad de vida y eventos adversos, y alta para remisión.",
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,,La incertidumbre o variabilidad no son importantes.,No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.,El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 90
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,,Costes y reducción de costes insignificante.,No se encontró evidencia sobre el coste de los IRSN en comparación con placebo en España.,"En España, el coste del tratamiento con IRSN por paciente y trimestre se estima entre 28,77 € y 86,31 €. Con duloxetina por paciente y trimestre se estima en 28,67 € (20 mg/d), 86,01 € (60 mg/d) y 172,02 € (120 mg/d). Y en el caso de la venlafaxina retard por paciente y trimestre se estima entre 28,77 € (75 mg/d) y 86,31 € (225 mg/d). El GAG reconoce las limitaciones de la estimación de costes realizada porque solo contempla el coste del fármaco, pero no otros costes como los asociados a consultas evitadas, tratamiento de efectos adversos, seguimientos, etc."
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,,No hay estudios incluidos.,No se encontró evidencia sobre el uso de recursos durante el tratamiento con IRSN en España.,
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?","h) El coste-efectividad de la intervención, ¿favorece a la",,Probablemente favorece a la intervención.,"En la única evaluación económica identificada en la que se evalúa los IRSN además de otros medicamentos frente a placebo (147), se encontró que los IRSN son más efectivos en términos de AVAC y menos costosos que el placebo en Reino Unido.",
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?",i) ¿Cuál sería el impacto en la equidad en salud?,,Probablemente sin impacto.,No se identificaron estudios que respondieran a la pregunta. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 91,El GAG considera que no es probable que existan situaciones de falta de equidad en el acceso al tratamiento con IRSN en el SNS.
ansiedad.txt,6.1.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores de la recaptación de serotonina y noradrenalina (IRSN) frente al placebo?",j) ¿Es aceptable la opción para los agentes implicados?,,Probablemente sí.,"Según la revisión de estudios cualitativos realizada, la aceptabilidad de los tratamientos farmacológicos, entre ellos los IRSN, es variable entre las personas con TAG por cambios en la percepción de su efectividad o por la presencia de efectos secundarios (148). Por otro lado, en los ECA considerados, la tasa de abandono de los IRSN debido a efectos adversos durante el periodo de tratamiento de 12 semanas analizado es del 13,4%, significativamente mayor que la obtenida en los grupos de control (6,4%) (P< 0,01) (143,149–156,163,164,166).","En la práctica clínica, el paciente con TAG es tratado después de una trayectoria larga de consultas, pruebas y un curso prolongado de sintomatología hasta el diagnóstico. En ese punto, no suelen existir problemas a la hora de aceptar el tratamiento farmacológico."
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?",k) ¿Es factible la implementación de la opción?,,Probablemente sí.,No se identificaron estudios que respondieran a la pregunta.,"Aunque otros ISRS como la desvenlafaxina no tienen indicación en ficha técnica para el tratamiento de los adultos con TAG, la duloxetina y la venlafaxina retard tienen indicación aprobadapara el TAG. Entre las principales estrategias terapéuticas actuales para el abordaje del TAG se encuentra el tratamiento farmacológico, que tiene como objetivo reducir los síntomas, facilitar el logro de la remisión y la recuperación, prevenir las recaídas y reducir las consecuencias derivadas, con los mínimos efectos adversos posibles. Entre los GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 92 medicamentos utilizados para el TAG se incluye la agomelatina, un antidepresivo agonista melatoninérgico (receptores MT1 y MT2) y antagonista 5HT 2C, que actúa aumentando la liberación de dopamina y noradrenalina. En esta pregunta clínica se analiza la evidencia científica y se aportan recomendaciones sobre el uso en AP de la agomelatina en pacientes con TAG. Recomendaciones 1. Se sugiere no usar el antidepresivo agomelatina para el tratamiento de las personas con TAG. [Débil en contra] Justificación Se ha formulado una recomendación débil en contra del uso de la agomelatina en pacientes con TAG. El grupo de trabajo ha considerado la mayor evidencia disponible de efectividad sobre otros antidepresivos de primera línea, las consideraciones de seguridad y el coste del fármaco. Justificación detallada Magnitud de los efectos esperados: la evidencia señala que la agomelatina muestra un efecto grande sobre los niveles de ansiedad y clínicamente significativos sobre las tasas de respuesta de respuesta y remisión. Sin embargo, los ISRS y IRSN tienen una base de evidencia más robusta y se ha demostrado que son efectivos en el tratamiento del TAG. Estos medicamentos tienen perfiles de seguridad bien establecidos y son más conocidos por los médicos de AP. Aunque la agomelatina se considera generalmente bien tolerada, tiene ciertas consideraciones de seguridad que deben tenerse en cuenta. Puede aumentar el riesgo de daño hepático, por lo que se requiere monitoreo regular de la función hepática durante el tratamiento. Además, tiene interacciones farmacológicas significativas con otros medicamentos, lo que puede limitar su uso en pacientes polimedicados. Estas consideraciones pueden complicar su uso en el entorno de AP, donde la monitorización y el manejo de las interacciones pueden ser más desafiantes. Uso de recursos y costes: el coste de la agomelatina puede ser significativamente más alto en comparación con otros antidepresivos más comunes. De la evidencia a la recomendación"
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,,Moderada. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 93,"Se consideraron 3 ECA con un total de 801 personas con TAG; 131 tratados con 10 mg/d de agomelatina, 139 con 5 mg/d y 202 con una dosis flexible entre 25 y 50 mg/d, mientras que 329 pacientes recibieron placebo (136,168,169). La duración del tratamiento fue de 12 semanas. Los resultados muestran que el tratamiento con agomelatina frente al placebo en adultos con TAG: Reduce los niveles de ansiedad (efecto grande). Aumenta la probabilidad de respuesta (305 pacientes más por cada 1.000). Aumenta la probabilidad de remisión (195 pacientes más por cada 1.000). No aumenta el riesgo de eventos adversos. Los resultados del análisis por subgrupo mostraron que el tratamiento con diferentes dosis de agomelatina afecta a algunos desenlaces considerados claves como se muestra a continuación: Niveles de ansiedad: 10 mg: efecto grande. 25 mg: efecto grande. 25-50 mg: efecto moderado. Probabilidad de respuesta: 10 mg: 286 pacientes más por cada 1.000. 25 mg: 475 pacientes más por cada 1.000. 25-50 mg: 244 pacientes más por cada 1.000. Probabilidad de remisión: 10 mg: 125 pacientes más por cada 1.000. 25 mg: 270 pacientes más por cada 1.000. 25-50 mg: 190 pacientes más por cada 1.000. Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,,Moderada.,"La calidad global de la evidencia fue considerada moderada. Si bien se parte de estudios con bajo riesgo de sesgos, para alguno de los desenlaces dicotómicos considerados (respuesta, remisión y eventos adversos) el número total de pacientes incluidos entre todos los estudios es menor que el número de pacientes generados por el cálculo convencional del tamaño de la muestra (tamaño óptimo de información; respuesta: 641; remisión: 1.257; y eventos adversos: 263 participantes en cada grupo, respectivamente). Por desenlace, la calidad de la evidencia fue considerada moderada para ansiedad, remisión y eventos adversos, y baja para la respuesta.",
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,,La incertidumbre o la variabilidad probablemente no son importantes.,No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.,El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales.
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,,Costes moderados.,No se encontró evidencia sobre el coste de agomelatina en comparación con placebo en España.,"En España, el coste del tratamiento con agomelatina por paciente y trimestre se estima entre 115,91 € (25 mg/d) y 231,81 € (50 mg/d). El GAG reconoce las limitaciones de la estimación de costes realizada porque solo contempla el coste del fármaco, pero no otros costes como los asociados a consultas evitadas, tratamiento de efectos adversos, seguimiento, etc."
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,,No hay estudios incluidos.,No se encontró evidencia sobre el uso de los recursos durante el tratamiento con agomelatina en España.,
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?","h) El coste-efectividad de la intervención, ¿favorece a la",,Desconocido.,No se identificaron evaluaciones económicas en las que se comparara agomelatina con placebo o cuidados habituales.,
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?",i) ¿Cuál sería el impacto en la equidad en salud?,,Probablemente sin impacto.,No se identificaron estudios que respondieran a la pregunta.,"El mayor coste del fármaco con respecto a otras opciones y el hecho de que no tenga autorizada indicación para TAG reduce la probabilidad de que este fármaco se use de la misma forma en todo el territorio nacional, ya que probablemente su uso estará condicionado a un informe favorable de las comisiones farmacoterapéuticas de los centros o las CCAA. Sin embargo, el GAG considera que no es probable que existan situaciones de falta de equidad en el acceso al tratamiento con agomelatina en el SNS dado que su uso se restringiría a aquellos pacientes con una historia de falla terapéutica y ausencia de alternativa. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 96"
ansiedad.txt,6.1.3.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la agomelatina frente al placebo?",j) ¿Es aceptable la opción para los agentes implicados?,,Probablemente sí.,"En los ECA considerados no se obtuvieron tasas diferenciales de abandono de la agomelatina frente al placebo durante el periodo de tratamiento de 12 semanas analizado (136,168,169).",El GAG considera que la necesidad de monitorizar la función hepática puede reducir la aceptabilidad del tratamiento por parte de los pacientes.
